"tp_med","ttc","metal"
4.28,0.875060377438317,"Zinc"
4.29,0.872001955789538,"Zinc"
4.3,0.86894490606651,"Zinc"
4.31,0.865889111742646,"Zinc"
4.32,0.862834484952144,"Zinc"
4.33,0.859780944994394,"Zinc"
4.34,0.856728411168788,"Zinc"
4.35,0.853676802774718,"Zinc"
4.36,0.850626039111576,"Zinc"
4.37,0.847576039478754,"Zinc"
4.38,0.844526723175643,"Zinc"
4.39,0.841478009501635,"Zinc"
4.4,0.838429817756122,"Zinc"
4.41,0.835382073312604,"Zinc"
4.42,0.83233472584101,"Zinc"
4.43,0.829287731085376,"Zinc"
4.44,0.826241044789741,"Zinc"
4.45,0.82319462269814,"Zinc"
4.46,0.820148420554612,"Zinc"
4.47,0.817102394103192,"Zinc"
4.48,0.814056499087919,"Zinc"
4.49,0.811010691252829,"Zinc"
4.5,0.807964926341959,"Zinc"
4.51,0.804919168141211,"Zinc"
4.52,0.801873409940464,"Zinc"
4.53,0.798827651739716,"Zinc"
4.54,0.795781893538969,"Zinc"
4.55,0.792736135338221,"Zinc"
4.56,0.789690377137474,"Zinc"
4.57,0.786644618936726,"Zinc"
4.58,0.783598860735979,"Zinc"
4.59,0.780553102535231,"Zinc"
4.6,0.777507344334483,"Zinc"
4.61,0.774461586133736,"Zinc"
4.62,0.771415827932989,"Zinc"
4.63,0.768370069732241,"Zinc"
4.64,0.765324311531494,"Zinc"
4.65,0.762278553330746,"Zinc"
4.66,0.759232795129999,"Zinc"
4.67,0.756187036929251,"Zinc"
4.68,0.753141278728503,"Zinc"
4.69,0.750095520527756,"Zinc"
4.7,0.747049762327009,"Zinc"
4.71,0.744004004126261,"Zinc"
4.72,0.740958245925514,"Zinc"
4.73,0.737912487724766,"Zinc"
4.74,0.734866729524018,"Zinc"
4.75,0.731820971323271,"Zinc"
4.76,0.728775213122524,"Zinc"
4.77,0.725729454921776,"Zinc"
4.78,0.722683696721029,"Zinc"
4.79,0.719637938520281,"Zinc"
4.8,0.716592180319534,"Zinc"
4.81,0.713546422118786,"Zinc"
4.82,0.710500663918038,"Zinc"
4.83,0.707454905717291,"Zinc"
4.84,0.704409147516543,"Zinc"
4.85,0.701363389315796,"Zinc"
4.86,0.698317631115048,"Zinc"
4.87,0.695271872914301,"Zinc"
4.88,0.692226114713554,"Zinc"
4.89,0.689180356512806,"Zinc"
4.9,0.686134598312058,"Zinc"
4.91,0.683088840111311,"Zinc"
4.92,0.680043081910564,"Zinc"
4.93,0.676997323709816,"Zinc"
4.94,0.673951565509068,"Zinc"
4.95,0.670905807308321,"Zinc"
4.96,0.667860049107573,"Zinc"
4.97,0.664814290906826,"Zinc"
4.98,0.661768532706078,"Zinc"
4.99,0.658722774505331,"Zinc"
5,0.655677016304583,"Zinc"
0,1.00008606099848,"Molybdenum"
0.01,1.0009778746691,"Molybdenum"
0.02,1.00186926518795,"Molybdenum"
0.03,1.0027597158552,"Molybdenum"
0.04,1.00364870997101,"Molybdenum"
0.05,1.00453573083556,"Molybdenum"
0.06,1.00542026174903,"Molybdenum"
0.07,1.00630178601157,"Molybdenum"
0.08,1.00717978692337,"Molybdenum"
0.09,1.00805374778458,"Molybdenum"
0.1,1.00892315189539,"Molybdenum"
0.11,1.00978748255596,"Molybdenum"
0.12,1.01064622306647,"Molybdenum"
0.13,1.01149885672708,"Molybdenum"
0.14,1.01234486683796,"Molybdenum"
0.15,1.01318373669929,"Molybdenum"
0.16,1.01401494961123,"Molybdenum"
0.17,1.01483798887396,"Molybdenum"
0.18,1.01565233778764,"Molybdenum"
0.19,1.01645747965245,"Molybdenum"
0.2,1.01725289776856,"Molybdenum"
0.21,1.01803807543614,"Molybdenum"
0.22,1.01881249595535,"Molybdenum"
0.23,1.01957564262638,"Molybdenum"
0.24,1.02032699874938,"Molybdenum"
0.25,1.02106604762453,"Molybdenum"
0.26,1.02179227255201,"Molybdenum"
0.27,1.02250515683197,"Molybdenum"
0.28,1.0232041837646,"Molybdenum"
0.29,1.02388883665006,"Molybdenum"
0.3,1.02455859878852,"Molybdenum"
