"tp_med","ttc","metal"
3.64,1.94253562938008,"Zinc"
3.65,1.94839218699306,"Zinc"
3.66,1.95425095010667,"Zinc"
3.67,1.96011168170724,"Zinc"
3.68,1.96597414478113,"Zinc"
3.69,1.97183810231467,"Zinc"
3.7,1.97770331729423,"Zinc"
3.71,1.98356961507134,"Zinc"
3.72,1.98943707045832,"Zinc"
3.73,1.99530582063272,"Zinc"
3.74,2.00117600277205,"Zinc"
3.75,2.00704775405385,"Zinc"
3.76,2.01292121165563,"Zinc"
3.77,2.01879651275493,"Zinc"
3.78,2.02467379452928,"Zinc"
3.79,2.0305531941562,"Zinc"
3.8,2.03643484881322,"Zinc"
3.81,2.04231888270027,"Zinc"
3.82,2.04820536810695,"Zinc"
3.83,2.05409436434526,"Zinc"
3.84,2.05998593072719,"Zinc"
3.85,2.06588012656475,"Zinc"
3.86,2.07177701116994,"Zinc"
3.87,2.07767664385476,"Zinc"
3.88,2.0835790839312,"Zinc"
3.89,2.08948439071128,"Zinc"
3.9,2.09539262350698,"Zinc"
3.91,2.10130383149646,"Zinc"
3.92,2.10721802332248,"Zinc"
3.93,2.11313519749394,"Zinc"
3.94,2.11905535251975,"Zinc"
3.95,2.12497848690881,"Zinc"
3.96,2.13090459917004,"Zinc"
3.97,2.13683368781234,"Zinc"
3.98,2.14276575134462,"Zinc"
3.99,2.14870078827578,"Zinc"
4,2.15463879711473,"Zinc"
4.01,2.16057971690252,"Zinc"
4.02,2.16652324880876,"Zinc"
4.03,2.1724690345352,"Zinc"
4.04,2.17841671578361,"Zinc"
4.05,2.18436593425574,"Zinc"
4.06,2.19031633165334,"Zinc"
4.07,2.19626754967818,"Zinc"
4.08,2.20221923003199,"Zinc"
4.09,2.20817101441654,"Zinc"
4.1,2.21412254453359,"Zinc"
4.11,2.22007353321826,"Zinc"
4.12,2.2260239778391,"Zinc"
4.13,2.23197394689806,"Zinc"
4.14,2.23792350889706,"Zinc"
4.15,2.24387273233803,"Zinc"
4.16,2.24982168572292,"Zinc"
4.17,2.25577043755364,"Zinc"
4.18,2.26171905633213,"Zinc"
4.19,2.26766761056032,"Zinc"
4.2,2.27361616874015,"Zinc"
4.21,2.27956479937354,"Zinc"
4.22,2.28551357096242,"Zinc"
4.23,2.29146255200873,"Zinc"
4.24,2.2974118110144,"Zinc"
4.25,2.30336141648136,"Zinc"
4.26,2.30931143691153,"Zinc"
4.27,2.31526194080687,"Zinc"
4.28,2.32121299666928,"Zinc"
4.29,2.32716467300071,"Zinc"
4.3,2.33311703830308,"Zinc"
4.31,2.33907016107834,"Zinc"
4.32,2.3450241098284,"Zinc"
4.33,2.3509789530552,"Zinc"
4.34,2.35693475926067,"Zinc"
4.35,2.36289159694675,"Zinc"
4.36,2.36884953461536,"Zinc"
4.37,2.37480864076844,"Zinc"
4.38,2.38076898390791,"Zinc"
4.39,2.38673063253572,"Zinc"
4.4,2.39269365515378,"Zinc"
4.41,2.39865812026403,"Zinc"
4.42,2.40462409636841,"Zinc"
4.43,2.41059165196884,"Zinc"
4.44,2.41656085556726,"Zinc"
4.45,2.42253177566559,"Zinc"
4.46,2.42850448076577,"Zinc"
4.47,2.43447903936973,"Zinc"
4.48,2.4404555199794,"Zinc"
4.49,2.44643399109672,"Zinc"
4.5,2.4524145212236,"Zinc"
4.51,2.458397178862,"Zinc"
4.52,2.46438203251382,"Zinc"
4.53,2.47036915068102,"Zinc"
4.54,2.47635860186552,"Zinc"
4.55,2.48235045456924,"Zinc"
4.56,2.48834477729413,"Zinc"
4.57,2.49434163854211,"Zinc"
4.58,2.50034110681512,"Zinc"
4.59,2.50634325061508,"Zinc"
