"","spp","year","tp_med","tp_upper","tp_lower"
"432","WTTR",1949,4.01046956458833,4.18200056528985,3.84863773957669
"433","WTTR",1950,4.00365313934422,4.17166747259245,3.84409278812838
"434","WTTR",1951,3.99671690966929,4.16471594923734,3.83926338367251
"435","WTTR",1952,3.9896573685552,4.15646632091218,3.83553824410521
"436","WTTR",1953,3.98206980446234,4.14869416712518,3.83113437822043
"437","WTTR",1954,3.97446885439834,4.13774366615224,3.82521335561186
"438","WTTR",1955,3.96701640543966,4.12758756520391,3.81973918035866
"439","WTTR",1956,3.95983400289013,4.11906339261717,3.81539245475225
"440","WTTR",1957,3.95204528619516,4.10971102439307,3.80958888483982
"441","WTTR",1958,3.94585721808187,4.09694158561616,3.80614304589176
"442","WTTR",1959,3.93866481328928,4.08648488128876,3.79955221787995
"443","WTTR",1960,3.93156099085615,4.07605390928433,3.79465017593791
"444","WTTR",1961,3.92468747085318,4.06854804507792,3.79013453413807
"445","WTTR",1962,3.91795713248369,4.06105630245056,3.78559474668977
"446","WTTR",1963,3.91063432366494,4.052791110813,3.77924364670595
"447","WTTR",1964,3.90396438265816,4.04931163805658,3.77368545049339
"448","WTTR",1965,3.89796919119604,4.04148913618819,3.76587061224632
"449","WTTR",1966,3.89091617981771,4.03189048464287,3.7633903315559
"450","WTTR",1967,3.88561647481714,4.02165813429306,3.75453166402771
"451","WTTR",1968,3.88021093895215,4.01206442060121,3.75158041085953
"452","WTTR",1969,3.87473013672738,4.0062862572664,3.7478786605343
"453","WTTR",1970,3.86946822743562,4.00358062429067,3.74443189523192
"454","WTTR",1971,3.86513640915527,3.999526251608,3.74104722806417
"455","WTTR",1972,3.86084480136762,3.99435731650886,3.73870532153738
"456","WTTR",1973,3.85696617181457,3.98869248789915,3.73749395439257
"457","WTTR",1974,3.85398850123443,3.98521316766518,3.73673867870051
"458","WTTR",1975,3.85145211350498,3.98456584538462,3.7367195084402
"459","WTTR",1976,3.84966012672403,3.98029793956941,3.73580030842424
"460","WTTR",1977,3.84834204146084,3.97694633264797,3.7385781694523
"461","WTTR",1978,3.84785346729693,3.97363967982567,3.73858287952434
"462","WTTR",1979,3.84788311742381,3.97086980137312,3.73764886938991
"463","WTTR",1980,3.84823244768403,3.96823398389619,3.74153411893669
"464","WTTR",1981,3.84973961582935,3.96884935858677,3.74637937638257
"465","WTTR",1982,3.85174372107345,3.96954371030353,3.7498172539386
"466","WTTR",1983,3.85501534717949,3.96834671137595,3.75429573249818
"467","WTTR",1984,3.85784811395307,3.96646136373129,3.75950948637367
"468","WTTR",1985,3.86106256895975,3.96524458871555,3.76517209920081
"469","WTTR",1986,3.86506354169118,3.96395445543249,3.77215189309283
"470","WTTR",1987,3.86953796232026,3.9656806606687,3.78130693987993
"471","WTTR",1988,3.87379943851811,3.96559743748569,3.78989660903134
"472","WTTR",1989,3.87798780332088,3.96824580697155,3.79760486886206
"473","WTTR",1990,3.88238287684297,3.96883133482012,3.80613474052967
"474","WTTR",1991,3.88721305625919,3.96975547647098,3.81255972096208
"475","WTTR",1992,3.89320418222412,3.97170520665905,3.81999261984474
"476","WTTR",1993,3.90044538514571,3.97515260345691,3.82800268333901
"477","WTTR",1994,3.90489446686904,3.97539424962854,3.83301868345921
"478","WTTR",1995,3.91144281883092,3.9824507582351,3.84107837615391
"479","WTTR",1996,3.91782814539605,3.98996981287597,3.84816697673999
"480","WTTR",1997,3.92518232863634,3.99751837053455,3.85609945232187
"481","WTTR",1998,3.93252398638309,4.00696557714976,3.86336370293999
"482","WTTR",1999,3.93912573807813,4.01417626936859,3.87069913582071
"483","WTTR",2000,3.94615793947402,4.0289106526898,3.87529600677113
"484","WTTR",2001,3.95489499555451,4.04077826151357,3.88045974837207
"485","WTTR",2002,3.96275764949983,4.05566387464139,3.88501456369029
"486","WTTR",2003,3.97032584835546,4.06849540165693,3.88544351457596
"487","WTTR",2004,3.97940715763875,4.08450092677474,3.88856086963327
"488","WTTR",2005,3.98880988109294,4.10144043229677,3.89075938885634
"489","WTTR",2006,3.99831899594648,4.11803754713057,3.89034454699606
"490","WTTR",2007,4.00815749692929,4.13693680873791,3.89417032967729
"491","WTTR",2008,4.01913579801419,4.1610888156722,3.89136796430536
"492","WTTR",2009,4.02867300405541,4.17889024838495,3.89013735181064
"493","WTTR",2010,4.03789195310674,4.19754103133167,3.88897591067091
"494","WTTR",2011,4.04794051367422,4.22204686799888,3.88881036519367
"495","WTTR",2012,4.05860058323943,4.24284761453154,3.89219702589631
"496","WTTR",2013,4.06940283428041,4.26529591521323,3.89113212391928
"497","WTTR",2014,4.08101725339771,4.2903929490189,3.88876429429166
"498","WTTR",2015,4.09246790782089,4.31160536170603,3.88670229369206
"499","BRBO",1891,4.06877157432866,4.20432774995452,3.92018873113877
"500","BRBO",1892,4.06535335153076,4.19748990737545,3.92225601549274
"501","BRBO",1893,4.06458629074132,4.19140667578215,3.92704513450518
"502","BRBO",1894,4.06171707117124,4.18753218565801,3.92888500271005
"503","BRBO",1895,4.05940594449394,4.18241890225471,3.92872578088337
"504","BRBO",1896,4.05754744931494,4.17958381226569,3.92505745039237
"505","BRBO",1897,4.05461701545511,4.17670217089938,3.92175816124923
"506","BRBO",1898,4.05151834574602,4.17088435155062,3.91999321391184
"507","BRBO",1899,4.04869571544624,4.17011175808334,3.91574162941417
"508","BRBO",1900,4.0470734676457,4.16707628639368,3.91263370749146
"509","BRBO",1901,4.04397546272803,4.15991463989122,3.91004708191481
"510","BRBO",1902,4.0414497723433,4.15899200744158,3.90807617165366
"511","BRBO",1903,4.03880610894209,4.15878117367589,3.90519933727009
"512","BRBO",1904,4.0382551733944,4.15772957777198,3.90312752909223
"513","BRBO",1905,4.03542028923206,4.16010463642061,3.90188201323879
"514","BRBO",1906,4.03325082097429,4.15992095651426,3.89815785407457
"515","BRBO",1907,4.03064549992629,4.15966971899731,3.89737875216088
"516","BRBO",1908,4.02813101692837,4.15844048655441,3.89650449557744
"517","BRBO",1909,4.02575535013773,4.15887633281906,3.89260516093278
"518","BRBO",1910,4.02244157109631,4.158376525101,3.88906507524948
"519","BRBO",1911,4.02038864821818,4.15770261790225,3.8851475944418
"520","BRBO",1912,4.01759417869076,4.15640410250136,3.88129422069444
"521","BRBO",1913,4.01444251260449,4.15497652007406,3.87927309348095
"522","BRBO",1914,4.01152153764777,4.15411793495717,3.87577823504291
